Mixture	Neurons	Astrocytes	Oligodendrocytes	Microglia	Endothelia	P-value	Correlation	RMSE
ERR1472994	0.633699150811604	0.00395713163476309	0.00878638301446288	0.0237191738411903	0.32983816069798	9999	0.567569219017523	0.868492095883535
ERR1472995	0.786695809704902	0	0.0129314596781716	0.0222848946973859	0.178087835919541	9999	0.483088813614769	0.958865317570332
ERR1472996	0.727554479758891	0	0.000864165753880283	0.0255348751280095	0.246046479359219	9999	0.559302963965056	0.882129789563185
ERR1472997	0.614955738771093	0	0.0183604871468103	0.0504687982086719	0.316214975873425	9999	0.490845661937749	0.937436183819771
ERR1472998	0.61053999918571	0	0.030833708847026	0.0521096782269052	0.306516613740359	9999	0.47177691654435	0.95298905802329
ERR1472999	0.502722866659939	0	0.0210924358867481	0.0600245128418207	0.416160184611492	9999	0.523996018504202	0.905577222097115
ERR1473000	0.589776401440728	0	0.0493900505872533	0.0522893948488354	0.308544153123183	9999	0.469180247766913	0.953026440209673
ERR1473001	0.528545649821618	0	0.032100302025096	0.0625657014850507	0.376788346668236	9999	0.477455978329681	0.945799431808306
ERR1473002	0.677973912247143	0	0.0560950460704319	0.0387635265883071	0.227167515094118	9999	0.436636575845581	0.986077351403887
ERR1473003	0.728803538701804	0	0.00194128602146925	0.030392563146758	0.238862612129969	9999	0.55473121037843	0.886405498578627
ERR1473004	0.84027131496274	0	0.0016168837436917	0.0164218858650769	0.141689915428491	9999	0.485721027790716	0.964064066611276
ERR1473005	0.744658559192566	0	4.76715112995658e-05	0.0178252925451281	0.237468476751006	9999	0.52053582288553	0.92096873432272
ERR1473006	0.698268265003249	0	0.0222941284619213	0.0405307817266175	0.238906824808212	9999	0.515750169204196	0.91943269873499
ERR1473007	0.689623565924387	0	0.025250918479459	0.0533502007170559	0.231775314879098	9999	0.497400235019386	0.934893772353892
ERR1473008	0.70277685286281	0	0.0150610676558664	0.0356428376636552	0.246519241817668	9999	0.509224020788195	0.926442358772762
ERR1473009	0.736999452582469	0.0029202719854068	0.0109268620175284	0.0318583684174192	0.217295044997176	9999	0.509365273615043	0.929230814771115
ERR1473010	0.6305488701087	0.0548758837635533	0.0324188524238732	0.0270837103862413	0.255072683317632	9999	0.631728743898579	0.799285091896894
ERR1473011	0.654300317867023	0	0.00903767680185955	0.0643131611476739	0.272348844183444	9999	0.550682535217783	0.883998077914102
ERR1473012	0.791309900779936	0	0.000140710609126221	0.0184632798448136	0.190086108766124	9999	0.453857730095119	0.986599637688495
ERR1473013	0.705471074456272	0	0	0.0318041072164984	0.26272481832723	9999	0.458030022385619	0.973947428046168
ERR1473014	0.606209930942028	0	0.033178953343944	0.041869025195818	0.31874209051821	9999	0.490123633055747	0.937020158670982
ERR1473015	0.586369894589329	0	0.0209931284281521	0.0476952350674307	0.344941741915088	9999	0.433225648755957	0.986566963931699
ERR1473016	0.626393559434598	0	0.051499730880647	0.0410764991899849	0.28103021049477	9999	0.429394004499993	0.989011778487241
ERR1473017	0.735060946113179	0	0.0329255079398707	0.0286929822008038	0.203320563746147	9999	0.454932065163282	0.977139086489086
ERR1473018	0.670441284192781	0	0.0159421319463191	0.0368132061268166	0.276803377734083	9999	0.449689000444855	0.977244452143005
ERR1473019	0.671368150335712	0	0.0421727840424298	0.0293280374920159	0.257131028129843	9999	0.419967190008526	1.00106512861658
ERR1473020	0.75189722568526	0	0.00693323560840424	0.0265180157226511	0.214651522983685	9999	0.480314406177081	0.957854976545488
ERR1473021	0.804412289672821	0	0.00280104733555612	0.0235198963417304	0.169266766649893	9999	0.430027120359035	1.00888703743545
ERR1473022	0.637479491649941	0.00142234671661492	0.0182610554981272	0.0415989983248	0.301238107810517	9999	0.49021012645858	0.939241428244541
ERR1473023	0.712123472947813	0	0.0152254414726982	0.0319407234410446	0.240710362138444	9999	0.433717100271662	0.994428372669103
ERR1473024	0.647875162878749	0	0	0.0264261472759073	0.325698689845343	9999	0.492904064792973	0.939843829111107
ERR1473025	0.363116532209622	0	0	0.028970082054173	0.607913385736205	9999	0.616478324964108	0.826240533648857
ERR1473026	0.727878251289857	0	0	0.0216261339986966	0.250495614711447	9999	0.462893874774931	0.971970706729162
ERR1473027	0.749855779572794	0	0.00432929769496574	0.0286306865203037	0.217184236211937	9999	0.480274445228025	0.957771621774555
ERR1473028	0.694708279542159	0	0.0110699071712668	0.0308041733259867	0.263417639960587	9999	0.45481188836351	0.975143113736008
ERR1473029	0.649688032410513	0	0.0054507229559913	0.0286665372286913	0.316194707404804	9999	0.456707835440409	0.971388792963818
ERR1473030	0.588671830257986	0	0.0857974243900147	0.0366292149259056	0.288901530426093	9999	0.445494541927261	0.971503507768909
